classifier_id,name,description
1,_CLASSIFIER,Forest management types
1,A,Mngm A
1,B,Mngm B
1,C,Mngm C
1,D,Mngm D
1,E,Mngm E
2,_CLASSIFIER,Species
2,Pine,Other pine
2,FGB,Fast Growing Unspecified broadleaved species - Genus type
2,Sitka,Sitka spruce
2,SGB,Slow Growing Unspecified broadleaved species - Genus type
2,OC,Other Spruce
2,CBmix,Mixed Unspecified broadleaved species - Genus type
2,Cmix,Unspecified softwood species
3,_CLASSIFIER,Yield classes
3,YC4_12,Yield class 4 to 12
3,YC12_20,Yield class 12 to 20
3,YC13_16,Yield class 13 to 16
3,YC17_20,Yield class 17 to 20
3,YC20_24,Yield class 20 to 24
3,YC24_30,Yield class 24 to 30
3,YC6,Yield class 6
3,YC10,Yield class 10
