Classifier1,Classifier2,Classifier3,UsingID,sw_age_min,sw_age_max,hw_age_min,hw_age_max,MinYearsSinceDist,MaxYearsSinceDist,LastDistTypeID,MinTotBiomassC,MaxTotBiomassC,MinSWMerchBiomassC,MaxSWMerchBiomassC,MinHWMerchBiomassC,MaxHWMerchBiomassC,MinTotalStemSnagC,MaxTotalStemSnagC,MinSWStemSnagC,MaxSWStemSnagC,MinHWStemSnagC,MaxHWStemSnagC,MinTotalStemSnagMerchC,MaxTotalStemSnagMerchC,MinSWMerchStemSnagC,MaxSWMerchStemSnagC,MinHWMerchStemSnagC,MaxHWMerchStemSnagC,Efficiency,SortType,MeasureType,Amount,DistTypeID,Year
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,80,DISTID2,3
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,171,DISTID2,4
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,3507,DISTID2,5
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,529,DISTID2,6
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,0,DISTID2,7
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,257,DISTID2,8
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,206,DISTID2,9
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,330,DISTID2,10
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,954,DISTID2,11
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,1239,DISTID2,12
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,1164,DISTID2,13
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,2763,DISTID2,14
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,480,DISTID2,15
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,61,DISTID2,16
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,476,DISTID2,17
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,1814,DISTID2,18
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,2661,DISTID2,19
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,6027,DISTID2,20
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,38781,DISTID2,21
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,41405,DISTID2,22
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,48992,DISTID2,23
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,8438,DISTID2,24
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,243,DISTID2,25
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,276,DISTID2,26
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,282,DISTID2,27
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,342,DISTID2,28
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,488,DISTID2,29
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,40124,DISTID2,30
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,11854,DISTID2,31
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,462,DISTID2,32
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,1664,DISTID2,33
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,1488,DISTID2,34
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,5417,DISTID2,35
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,1842,DISTID2,36
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,18061,DISTID2,37
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,17197,DISTID2,38
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,2048,DISTID2,39
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,4202,DISTID2,40
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,3865,DISTID2,41
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,10193,DISTID2,42
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,4224,DISTID2,43
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,3375,DISTID2,44
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,6048,DISTID2,45
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,5080,DISTID2,46
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,8314,DISTID2,47
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,7857,DISTID2,48
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,16498,DISTID2,49
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,9137,DISTID2,50
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,8220,DISTID2,51
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,6219,DISTID2,52
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,7290,DISTID2,53
E,CBmix,YC10,FALSE,15,39,15,39,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,M,11663,DISTID2,54
