卜,蔔,-1|0|萝
卜,卜
几,几,-1|0|茶,-1|0|书,-1|0|边,-1|0|角,-1|0|圆
几,幾
干,幹,-1|0|树,-1|0|躯,-1|0|支,1|2|线,-1|0|主,1|2|事,-1|3|说干就干,-3|0|说干就,1|2|活,-1|0|才,1|2|练
干,干,1|2|扰,1|2|涉,1|2|预,1|2|系,-3|0|互不相,-2|2|大动干戈,-1|0|天,1|2|支,-1|0|若
干,乾
才,才,1|2|能,-1|0|口,1|2|干,-1|0|奇,-1|0|奴,-1|0|蠢
才,纔
万,万,1|2|俟
万,萬
丰,豐,1|2|盛,1|2|碑,1|2|富,1|2|沛,1|2|饶,1|2|收
丰,丰
云,雲,-1|3|行云流水,1|4|蒸霞蔚,1|2|南,-1|0|的
云,云
历,曆,1|2|法,-1|0|日,-1|0|公,-1|0|农,-1|0|阳,-1|0|阴
历,歷
仆,仆,1|2|倒,-1|3|前仆后继
仆,僕
斗,鬥,1|2|殴,-1|0|战,1|2|勇,1|2|智,1|4|志昂扬,1|2|牛,1|3|蟋蟀,1|2|眼
斗,斗
丑,丑,-1|0|子,1|2|时,1|2|角,1|2|旦
丑,醜
术,术,-1|0|苍
术,術
叶,叶,1|2|韵
叶,葉
只,只,1|2|是,1|2|顾,1|2|管,1|2|见,1|2|有
只,隻
出,齣,1|2|戏
出,出
发,髮,-1|0|头,-1|0|鬓,-1|3|怒发冲冠,-1|0|白,-1|0|黑
发,發
台,檯,-2|0|写字,-1|0|柜
台,台,-1|2|天台山,-1|2|五台山,1|2|州
台,颱,1|2|风
台,臺
朴,樸,1|2|素,1|2|实,1|2|厚,1|2|质,-1|0|质,-1|0|俭
朴,朴
划,划,1|2|水,1|2|船,1|2|艇,1|2|算
划,劃
当,噹,1|2|当,-1|0|当
当,當
吁,吁
吁,籲
曲,曲
曲,麯
团,糰
团,團
回,回
回,迴
朱,朱
朱,硃
伙,伙
伙,夥
向,向
向,嚮
后,后
后,後
合,合
合,閤
冲,冲
冲,衝
尽,盡
尽,儘
纤,縴
纤,纖
坛,罎
坛,壇
坝,垻
坝,壩
折,摺
折,折
克,克
克,剋
苏,蘇
苏,囌
卤,鹵
卤,滷
里,里
里,裏
困,睏
困,困
别,彆
别,别
余,餘
余,余
谷,穀
谷,谷
系,係
系,系
系,繫
沈,瀋
沈,沈
表,表
表,錶
范,范
范,範
板,板
板,闆
松,松
松,鬆
郁,郁
郁,鬱
制,製
制,制
刮,刮
刮,颳
征,徵
征,征
舍,舍
舍,捨
卷,卷
卷,捲
帘,帘
帘,簾
弥,彌
弥,瀰
胡,胡
胡,鬍
咸,鹹
咸,咸
面,麵
面,面
钟,鍾
钟,鐘
种,种
种,種
秋,秋
秋,鞦
复,復
复,複
须,須
须,鬚
姜,姜
姜,薑
获,穫
获,獲
恶,噁
恶,惡
致,致
致,緻
党,党
党,黨
借,借
借,藉
脏,臟
脏,髒
准,準
准,准
症,症
症,癥
涂,涂
涂,塗
家,傢
家,家
据,据
据,據
累,累
累,纍
旋,旋
旋,鏇
淀,澱
淀,淀
筑,筑
筑,築
御,禦
御,御
摆,擺
摆,襬
蒙,蒙
蒙,懞
蒙,濛
蒙,矇
签,簽
签,籤
漓,灕
漓,漓
辟,闢
辟,辟
蔑,蔑
蔑,衊
篱,籬
篱,篱
芸,蕓
芸,芸
