classifier_id,name,description
1,_CLASSIFIER,Species
1,Sitka,Sitka spruce
1,SGB,Slow Growing Unspecified broadleaved species - Genus type
1,NFSitka_mineral,NonForestSitkaMineral
1,NFSGB_mineral,NonForestSGBMineral
1,NFSitka_peat,NonForestSitkaPeat
1,NFSGB_peat,NonForestSGBPeat
2,_CLASSIFIER,Forest type
2,A,Afforestation
2,L,Legacy
3,_CLASSIFIER,Soil classes
3,mineral,Mineral
3,peat,Peat
4,_CLASSIFIER,Yield classes
4,YC6,Yield class 6
4,YC4_12,Yield class 4 to 12
4,YC13_16,Yield class 13 to 16
4,YC17_20,Yield class 17 to 20
4,YC20_24,Yield class 20 to 24
4,YC24_30,Yield class 24 to 30
