SIGMA_name,File_name
CFUN_CvCu,CFUN_CvCu
CFUN_CvCuNIST,CFUN_CvCuNIST
CFUN_CvG10,CFUN_CvG10
CFUN_CvHe,CFUN_CvHe
CFUN_CvKapton,CFUN_CvKapton
CFUN_CvNb3SnNIST,CFUN_CvNb3SnNIST
CFUN_CvNbTi,CFUN_CvNbTi
CFUN_CvSteel,CFUN_CvSteel
CFUN_IcNb3SnFCC,CFUN_IcNb3SnFCC
CFUN_IcNb3SnFCCWithStress,CFUN_IcNb3SnFCCWithStress
CFUN_IcNb3SnHiLumi,CFUN_IcNb3SnHiLumi
CFUN_IcNbTiD2,CFUN_IcNbTiD2
CFUN_IcNbTiGSI,CFUN_IcNbTiGSI
CFUN_JcNbTiLowCurrent,CFUN_JcNbTiLowCurrent
CFUN_kCuNIST,CFUN_kCuNIST
CFUN_kG10,CFUN_kG10
CFUN_kHe,CFUN_kHe
CFUN_kKapton,CFUN_kKapton
CFUN_kSteel,CFUN_kSteel
CFUN_QHCircuit,CFUN_QHCircuit
CFUN_quenchState,CFUN_quenchState
CFUN_rhoCuCUDI,CFUN_rhoCuCUDI
CFUN_rhoCuNIST,CFUN_rhoCuNIST
CFUN_tauIFCC,CFUN_tauIFCC
CFUN_TcsNbTi,CFUN_TcsNbTi
