Classifier1,Classifier2,Classifier3,Classifier4,UsingID,Age,Area,Delay,UNFCCCLC,HistDist,LastDist
NFPine_mineral,A,mineral,YC12_20,False,0,2945,0,2,DISTID5,DISTID5
NFPine_mineral,A,mineral,YC4_12,False,0,0,0,2,DISTID5,DISTID5
NFSitka_mineral,A,mineral,YC4_12,False,0,1568,0,2,DISTID5,DISTID5
NFSitka_mineral,A,mineral,YC13_16,False,0,1867,0,2,DISTID5,DISTID5
NFSitka_mineral,A,mineral,YC17_20,False,0,10023,0,2,DISTID5,DISTID5
NFSitka_mineral,A,mineral,YC20_24,False,0,29552,0,2,DISTID5,DISTID5
NFSitka_mineral,A,mineral,YC24_30,False,0,38787,0,2,DISTID5,DISTID5
NFSGB_mineral,A,mineral,YC6,False,0,3596,0,2,DISTID5,DISTID5
NFFGB_mineral,A,mineral,YC6,False,0,10906,0,2,DISTID5,DISTID5
NFCBmix_mineral,A,mineral,YC10,False,0,9013,0,2,DISTID5,DISTID5
NFCmix_mineral,A,mineral,YC10,False,0,13114,0,2,DISTID5,DISTID5
NFOC_mineral,A,mineral,YC10,False,0,5803,0,2,DISTID5,DISTID5
NFPine_peat,A,peat,YC12_20,False,0,14410,0,2,DISTID5,DISTID5
NFPine_peat,A,peat,YC4_12,False,0,6804,0,2,DISTID5,DISTID5
NFSitka_peat,A,peat,YC4_12,False,0,15359,0,2,DISTID5,DISTID5
NFSitka_peat,A,peat,YC13_16,False,0,13440,0,2,DISTID5,DISTID5
NFSitka_peat,A,peat,YC17_20,False,0,29668,0,2,DISTID5,DISTID5
NFSitka_peat,A,peat,YC20_24,False,0,37100,0,2,DISTID5,DISTID5
NFSitka_peat,A,peat,YC24_30,False,0,22603,0,2,DISTID5,DISTID5
NFSGB_peat,A,peat,YC6,False,0,0,0,2,DISTID5,DISTID5
NFFGB_peat,A,peat,YC6,False,0,6607,0,2,DISTID5,DISTID5
NFCBmix_peat,A,peat,YC10,False,0,4444,0,2,DISTID5,DISTID5
NFCmix_peat,A,peat,YC10,False,0,19989,0,2,DISTID5,DISTID5
NFOC_peat,A,peat,YC10,False,0,2573,0,2,DISTID5,DISTID5
