Classifier1,Classifier2,Classifier3,UsingID,Age,Area,Delay,UNFCCCLC,HistDist,LastDist
A,Pine,YC12_20,TRUE,AGEID0,1820,0,0,DISTID3,DISTID1
A,Pine,YC12_20,TRUE,AGEID1,1880,0,0,DISTID3,DISTID1
A,Pine,YC12_20,TRUE,AGEID10,1092,0,0,DISTID3,DISTID1
A,Pine,YC12_20,TRUE,AGEID11,728,0,0,DISTID3,DISTID1
A,Pine,YC12_20,TRUE,AGEID12,1456,0,0,DISTID3,DISTID1
A,Pine,YC12_20,TRUE,AGEID14,1092,0,0,DISTID3,DISTID1
A,Pine,YC12_20,TRUE,AGEID16,364,0,0,DISTID3,DISTID1
A,Pine,YC12_20,TRUE,AGEID18,364,0,0,DISTID3,DISTID1
A,Pine,YC12_20,TRUE,AGEID2,728,0,0,DISTID3,DISTID1
A,Pine,YC12_20,TRUE,AGEID20,728,0,0,DISTID3,DISTID1
A,Pine,YC12_20,TRUE,AGEID3,364,0,0,DISTID3,DISTID1
A,Pine,YC12_20,TRUE,AGEID6,728,0,0,DISTID3,DISTID1
A,Pine,YC12_20,TRUE,AGEID7,2180,0,0,DISTID3,DISTID1
A,Pine,YC12_20,TRUE,AGEID8,2908,0,0,DISTID3,DISTID1
A,Sitka,YC13_16,TRUE,AGEID0,1104,0,0,DISTID3,DISTID1
A,Sitka,YC13_16,TRUE,AGEID1,1152,0,0,DISTID3,DISTID1
A,Sitka,YC13_16,TRUE,AGEID10,1092,0,0,DISTID3,DISTID1
A,Sitka,YC13_16,TRUE,AGEID11,1456,0,0,DISTID3,DISTID1
A,Sitka,YC13_16,TRUE,AGEID12,1092,0,0,DISTID3,DISTID1
A,Sitka,YC13_16,TRUE,AGEID14,364,0,0,DISTID3,DISTID1
A,Sitka,YC13_16,TRUE,AGEID2,1456,0,0,DISTID3,DISTID1
A,Sitka,YC13_16,TRUE,AGEID3,2180,0,0,DISTID3,DISTID1
A,Sitka,YC13_16,TRUE,AGEID4,2180,0,0,DISTID3,DISTID1
A,Sitka,YC13_16,TRUE,AGEID5,1456,0,0,DISTID3,DISTID1
A,Sitka,YC13_16,TRUE,AGEID6,6180,0,0,DISTID3,DISTID1
A,Sitka,YC13_16,TRUE,AGEID7,4364,0,0,DISTID3,DISTID1
A,Sitka,YC13_16,TRUE,AGEID8,6544,0,0,DISTID3,DISTID1
A,Sitka,YC13_16,TRUE,AGEID9,6908,0,0,DISTID3,DISTID1
A,Sitka,YC4_12,TRUE,AGEID0,1624,0,0,DISTID3,DISTID1
A,Sitka,YC4_12,TRUE,AGEID1,1152,0,0,DISTID3,DISTID1
A,Sitka,YC4_12,TRUE,AGEID10,4728,0,0,DISTID3,DISTID1
A,Sitka,YC4_12,TRUE,AGEID11,1456,0,0,DISTID3,DISTID1
A,Sitka,YC4_12,TRUE,AGEID12,728,0,0,DISTID3,DISTID1
A,Sitka,YC4_12,TRUE,AGEID14,728,0,0,DISTID3,DISTID1
A,Sitka,YC4_12,TRUE,AGEID18,364,0,0,DISTID3,DISTID1
A,Sitka,YC4_12,TRUE,AGEID2,364,0,0,DISTID3,DISTID1
A,Sitka,YC4_12,TRUE,AGEID20,364,0,0,DISTID3,DISTID1
A,Sitka,YC4_12,TRUE,AGEID3,728,0,0,DISTID3,DISTID1
A,Sitka,YC4_12,TRUE,AGEID4,1092,0,0,DISTID3,DISTID1
A,Sitka,YC4_12,TRUE,AGEID5,1092,0,0,DISTID3,DISTID1
A,Sitka,YC4_12,TRUE,AGEID6,7272,0,0,DISTID3,DISTID1
A,Sitka,YC4_12,TRUE,AGEID7,6544,0,0,DISTID3,DISTID1
A,Sitka,YC4_12,TRUE,AGEID8,4728,0,0,DISTID3,DISTID1
A,Sitka,YC4_12,TRUE,AGEID9,5820,0,0,DISTID3,DISTID1
B,OC,YC10,TRUE,AGEID0,892,0,0,DISTID3,DISTID1
B,OC,YC10,TRUE,AGEID1,1152,0,0,DISTID3,DISTID1
B,OC,YC10,TRUE,AGEID10,728,0,0,DISTID3,DISTID1
B,OC,YC10,TRUE,AGEID11,728,0,0,DISTID3,DISTID1
B,OC,YC10,TRUE,AGEID16,364,0,0,DISTID3,DISTID1
B,OC,YC10,TRUE,AGEID2,728,0,0,DISTID3,DISTID1
B,OC,YC10,TRUE,AGEID3,2544,0,0,DISTID3,DISTID1
B,OC,YC10,TRUE,AGEID4,1820,0,0,DISTID3,DISTID1
B,OC,YC10,TRUE,AGEID5,2544,0,0,DISTID3,DISTID1
B,OC,YC10,TRUE,AGEID6,1820,0,0,DISTID3,DISTID1
B,OC,YC10,TRUE,AGEID7,1092,0,0,DISTID3,DISTID1
B,OC,YC10,TRUE,AGEID8,1456,0,0,DISTID3,DISTID1
B,Pine,YC4_12,TRUE,AGEID0,188,0,0,DISTID3,DISTID1
B,Pine,YC4_12,TRUE,AGEID1,2244,0,0,DISTID3,DISTID1
B,Pine,YC4_12,TRUE,AGEID10,1820,0,0,DISTID3,DISTID1
B,Pine,YC4_12,TRUE,AGEID11,364,0,0,DISTID3,DISTID1
B,Pine,YC4_12,TRUE,AGEID12,1092,0,0,DISTID3,DISTID1
B,Pine,YC4_12,TRUE,AGEID14,364,0,0,DISTID3,DISTID1
B,Pine,YC4_12,TRUE,AGEID2,1456,0,0,DISTID3,DISTID1
B,Pine,YC4_12,TRUE,AGEID3,1820,0,0,DISTID3,DISTID1
B,Pine,YC4_12,TRUE,AGEID4,1820,0,0,DISTID3,DISTID1
B,Pine,YC4_12,TRUE,AGEID5,364,0,0,DISTID3,DISTID1
B,Pine,YC4_12,TRUE,AGEID6,1820,0,0,DISTID3,DISTID1
B,Pine,YC4_12,TRUE,AGEID7,5456,0,0,DISTID3,DISTID1
B,Pine,YC4_12,TRUE,AGEID8,8364,0,0,DISTID3,DISTID1
B,Pine,YC4_12,TRUE,AGEID9,1092,0,0,DISTID3,DISTID1
B,Sitka,YC17_20,TRUE,AGEID0,380,0,0,DISTID3,DISTID1
B,Sitka,YC17_20,TRUE,AGEID1,1456,0,0,DISTID3,DISTID1
B,Sitka,YC17_20,TRUE,AGEID10,728,0,0,DISTID3,DISTID1
B,Sitka,YC17_20,TRUE,AGEID11,364,0,0,DISTID3,DISTID1
B,Sitka,YC17_20,TRUE,AGEID2,3636,0,0,DISTID3,DISTID1
