date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2022-09-26,5996235.1618,9992235.1618,3996000.0,0.999224,10000000.0,1.0
2022-09-27,5996235.1618,10042185.1618,4045950.0,1.004219,10000000.0,0.9992
2022-09-28,5996235.1618,10028865.1618,4032630.0,1.002887,10000000.0,1.0042
2022-09-29,5996235.1618,9945615.1618,3949380.0,0.994562,10000000.0,1.0029
2022-09-30,5996235.1618,9938955.1618,3942720.0,0.993896,10000000.0,0.9946
2022-10-10,5996235.1618,9815745.1618,3819510.0,0.981575,10000000.0,0.9939
2022-10-11,5996235.1618,9819075.1618,3822840.0,0.981908,10000000.0,0.9816
2022-10-12,5996235.1618,9859035.1618,3862800.0,0.985904,10000000.0,0.9819
2022-10-13,5996235.1618,9772455.1618,3776220.0,0.977246,10000000.0,0.9859
2022-10-14,5996235.1618,9835725.1618,3839490.0,0.983573,10000000.0,0.9772
2022-10-17,5996235.1618,9819075.1618,3822840.0,0.981908,10000000.0,0.9836
2022-10-18,5996235.1618,9819075.1618,3822840.0,0.981908,10000000.0,0.9819
2022-10-19,5996235.1618,9755805.1618,3759570.0,0.975581,10000000.0,0.9819
2022-10-20,5996235.1618,9725835.1618,3729600.0,0.972584,10000000.0,0.9756
2022-10-21,5996235.1618,9689205.1618,3692970.0,0.968921,10000000.0,0.9726
2022-10-24,5996235.1618,9532695.1618,3536460.0,0.95327,10000000.0,0.9689
2022-10-25,5996235.1618,9542685.1618,3546450.0,0.954269,10000000.0,0.9533
2022-10-26,5996235.1618,9546015.1618,3549780.0,0.954602,10000000.0,0.9543
2022-10-27,5996235.1618,9552675.1618,3556440.0,0.955268,10000000.0,0.9546
2022-10-28,5996235.1618,9466095.1618,3469860.0,0.94661,10000000.0,0.9553
2022-10-31,5996235.1618,9439455.1618,3443220.0,0.943946,10000000.0,0.9466
2022-11-01,5996235.1618,9549345.1618,3553110.0,0.954935,10000000.0,0.9439
2022-11-02,5996235.1618,9536025.1618,3539790.0,0.953603,10000000.0,0.9549
2022-11-03,5996235.1618,9472755.1618,3476520.0,0.947276,10000000.0,0.9536
2022-11-04,5996235.1618,9599295.1618,3603060.0,0.95993,10000000.0,0.9473
2022-11-07,5996235.1618,9619275.1618,3623040.0,0.961928,10000000.0,0.9599
2022-11-08,5996235.1618,9609285.1618,3613050.0,0.960929,10000000.0,0.9619
2022-11-09,5996235.1618,9622605.1618,3626370.0,0.962261,10000000.0,0.9609
2022-11-10,5996235.1618,9615945.1618,3619710.0,0.961595,10000000.0,0.9623
2022-11-11,5996235.1618,9802425.1618,3806190.0,0.980243,10000000.0,0.9616
2022-11-14,5996235.1618,9975585.1618,3979350.0,0.997559,10000000.0,0.9802
2022-11-15,5996235.1618,9995565.1618,3999330.0,0.999557,10000000.0,0.9976
2022-11-16,5996235.1618,9932295.1618,3936060.0,0.99323,10000000.0,0.9996
2022-11-17,5996235.1618,9889005.1618,3892770.0,0.988901,10000000.0,0.9932
2022-11-18,5996235.1618,9855705.1618,3859470.0,0.985571,10000000.0,0.9889
2022-11-21,5996235.1618,9812415.1618,3816180.0,0.981242,10000000.0,0.9856
2022-11-22,5996235.1618,9932295.1618,3936060.0,0.99323,10000000.0,0.9812
2022-11-23,5996235.1618,9932295.1618,3936060.0,0.99323,10000000.0,0.9932
2022-11-24,5996235.1618,9915645.1618,3919410.0,0.991565,10000000.0,0.9932
2022-11-25,5996235.1618,10048845.1618,4052610.0,1.004885,10000000.0,0.9916
2022-11-28,5996235.1618,9928965.1618,3932730.0,0.992897,10000000.0,1.0049
2022-11-29,5996235.1618,10321905.1618,4325670.0,1.032191,10000000.0,0.9929
2022-11-30,5996235.1618,10335225.1618,4338990.0,1.033523,10000000.0,1.0322
2022-12-01,5996235.1618,10358535.1618,4362300.0,1.035854,10000000.0,1.0335
