date,cash,transaction_cost,market_value,total_value
2022-09-26,5996235.1618,3200.4515,3996000.0,9992235.1618
2022-09-27,5996235.1618,0.0,4045950.0,10042185.1618
2022-09-28,5996235.1618,0.0,4032630.0,10028865.1618
2022-09-29,5996235.1618,0.0,3949380.0,9945615.1618
2022-09-30,5996235.1618,0.0,3942720.0,9938955.1618
2022-10-10,5996235.1618,0.0,3819510.0,9815745.1618
2022-10-11,5996235.1618,0.0,3822840.0,9819075.1618
2022-10-12,5996235.1618,0.0,3862800.0,9859035.1618
2022-10-13,5996235.1618,0.0,3776220.0,9772455.1618
2022-10-14,5996235.1618,0.0,3839490.0,9835725.1618
2022-10-17,5996235.1618,0.0,3822840.0,9819075.1618
2022-10-18,5996235.1618,0.0,3822840.0,9819075.1618
2022-10-19,5996235.1618,0.0,3759570.0,9755805.1618
2022-10-20,5996235.1618,0.0,3729600.0,9725835.1618
2022-10-21,5996235.1618,0.0,3692970.0,9689205.1618
2022-10-24,5996235.1618,0.0,3536460.0,9532695.1618
2022-10-25,5996235.1618,0.0,3546450.0,9542685.1618
2022-10-26,5996235.1618,0.0,3549780.0,9546015.1618
2022-10-27,5996235.1618,0.0,3556440.0,9552675.1618
2022-10-28,5996235.1618,0.0,3469860.0,9466095.1618
2022-10-31,5996235.1618,0.0,3443220.0,9439455.1618
2022-11-01,5996235.1618,0.0,3553110.0,9549345.1618
2022-11-02,5996235.1618,0.0,3539790.0,9536025.1618
2022-11-03,5996235.1618,0.0,3476520.0,9472755.1618
2022-11-04,5996235.1618,0.0,3603060.0,9599295.1618
2022-11-07,5996235.1618,0.0,3623040.0,9619275.1618
2022-11-08,5996235.1618,0.0,3613050.0,9609285.1618
2022-11-09,5996235.1618,0.0,3626370.0,9622605.1618
2022-11-10,5996235.1618,0.0,3619710.0,9615945.1618
2022-11-11,5996235.1618,0.0,3806190.0,9802425.1618
2022-11-14,5996235.1618,0.0,3979350.0,9975585.1618
2022-11-15,5996235.1618,0.0,3999330.0,9995565.1618
2022-11-16,5996235.1618,0.0,3936060.0,9932295.1618
2022-11-17,5996235.1618,0.0,3892770.0,9889005.1618
2022-11-18,5996235.1618,0.0,3859470.0,9855705.1618
2022-11-21,5996235.1618,0.0,3816180.0,9812415.1618
2022-11-22,5996235.1618,0.0,3936060.0,9932295.1618
2022-11-23,5996235.1618,0.0,3936060.0,9932295.1618
2022-11-24,5996235.1618,0.0,3919410.0,9915645.1618
2022-11-25,5996235.1618,0.0,4052610.0,10048845.1618
2022-11-28,5996235.1618,0.0,3932730.0,9928965.1618
2022-11-29,5996235.1618,0.0,4325670.0,10321905.1618
2022-11-30,5996235.1618,0.0,4338990.0,10335225.1618
2022-12-01,5996235.1618,0.0,4362300.0,10358535.1618
2022-12-02,5996235.1618,0.0,4295700.0,10291935.1618
2022-12-05,5996235.1618,0.0,4505490.0,10501725.1618
2022-12-06,5996235.1618,0.0,4472190.0,10468425.1618
2022-12-07,5996235.1618,0.0,4378950.0,10375185.1618
2022-12-08,5996235.1618,0.0,4448880.0,10445115.1618
2022-12-09,5996235.1618,0.0,4562100.0,10558335.1618
2022-12-12,5996235.1618,0.0,4365630.0,10361865.1618
2022-12-13,5996235.1618,0.0,4408920.0,10405155.1618
2022-12-14,5996235.1618,0.0,4405590.0,10401825.1618
2022-12-15,5996235.1618,0.0,4362300.0,10358535.1618
2022-12-16,5996235.1618,0.0,4442220.0,10438455.1618
2022-12-19,5996235.1618,0.0,4342320.0,10338555.1618
2022-12-20,5996235.1618,0.0,4249080.0,10245315.1618
2022-12-21,5996235.1618,0.0,4292370.0,10288605.1618
2022-12-22,5996235.1618,0.0,4312350.0,10308585.1618
2022-12-23,5996235.1618,0.0,4322340.0,10318575.1618
2022-12-26,5996235.1618,0.0,4252410.0,10248645.1618
2022-12-27,5996235.1618,0.0,4365630.0,10361865.1618
2022-12-28,5996235.1618,0.0,4375620.0,10371855.1618
2022-12-29,5996235.1618,0.0,4338990.0,10335225.1618
2022-12-30,5996235.1618,0.0,4382280.0,10378515.1618
2023-01-03,5996235.1618,0.0,4585410.0,10581645.1618
2023-01-04,5996235.1618,0.0,4768560.0,10764795.1618
2023-01-05,5996235.1618,0.0,4821840.0,10818075.1618
2023-01-06,5996235.1618,0.0,4868460.0,10864695.1618
2023-01-09,5996235.1618,0.0,4928400.0,10924635.1618
2023-01-10,5996235.1618,0.0,4808520.0,10804755.1618
2023-01-11,5996235.1618,0.0,4885110.0,10881345.1618
2023-01-12,5996235.1618,0.0,4885110.0,10881345.1618
2023-01-13,5996235.1618,0.0,4978350.0,10974585.1618
2023-01-16,5996235.1618,0.0,5021640.0,11017875.1618
2023-01-17,5996235.1618,0.0,4985010.0,10981245.1618
2023-01-18,5996235.1618,0.0,5031630.0,11027865.1618
2023-01-19,5996235.1618,0.0,5024970.0,11021205.1618
2023-01-20,5996235.1618,0.0,5038290.0,11034525.1618
2023-01-30,5996235.1618,0.0,5044950.0,11041185.1618
2023-01-31,5996235.1618,0.0,4991670.0,10987905.1618
2023-02-01,5996235.1618,0.0,4895100.0,10891335.1618
2023-02-02,5996235.1618,0.0,4861800.0,10858035.1618
2023-02-03,5996235.1618,0.0,4768560.0,10764795.1618
2023-02-06,5996235.1618,0.0,4662000.0,10658235.1618
2023-02-07,5996235.1618,0.0,4731930.0,10728165.1618
2023-02-08,5996235.1618,0.0,4675320.0,10671555.1618
2023-02-09,5996235.1618,0.0,4705290.0,10701525.1618
2023-02-10,5996235.1618,0.0,4655340.0,10651575.1618
2023-02-13,5996235.1618,0.0,4602060.0,10598295.1618
2023-02-14,5996235.1618,0.0,4648680.0,10644915.1618
2023-02-15,5996235.1618,0.0,4552110.0,10548345.1618
